CO_CURSO,primeira_geracaon_valido,primeira_geracaon_positivo,primeira_geracao_pct,mae_superiorn_valido,mae_superiorn_positivo,mae_superior_pct,pai_superiorn_valido,pai_superiorn_positivo,pai_superior_pct,renda_ate_3smn_valido,renda_ate_3smn_positivo,renda_ate_3sm_pct,trabalhan_valido,trabalhan_positivo,trabalha_pct,trabalha_40hn_valido,trabalha_40hn_positivo,trabalha_40h_pct,acao_afirmativan_valido,acao_afirmativan_positivo,acao_afirmativa_pct,auxilio_permanencian_valido,auxilio_permanencian_positivo,auxilio_permanencia_pct,bolsa_academican_valido,bolsa_academican_positivo,bolsa_academica_pct,estudo_4h_ou_maisn_valido,estudo_4h_ou_maisn_positivo,estudo_4h_ou_mais_pct,pretende_magisterion_valido,pretende_magisterion_positivo,pretende_magisterio_pct
26,12,7,0.5833333333333334,13,2,0.15384615384615385,11,3,0.2727272727272727,13,10,0.7692307692307693,13,5,0.38461538461538464,13,1,0.07692307692307693,13,6,0.46153846153846156,13,3,0.23076923076923078,8,7,0.875,13,9,0.6923076923076923,13,12,0.9230769230769231
34,6,0,0.0,6,3,0.5,5,3,0.6,6,3,0.5,6,3,0.5,6,1,0.16666666666666666,6,4,0.6666666666666666,6,0,0.0,5,5,1.0,6,2,0.3333333333333333,6,5,0.8333333333333334
161,21,7,0.3333333333333333,21,7,0.3333333333333333,21,8,0.38095238095238093,21,10,0.47619047619047616,21,20,0.9523809523809523,21,6,0.2857142857142857,21,8,0.38095238095238093,21,4,0.19047619047619047,12,9,0.75,21,12,0.5714285714285714,21,15,0.7142857142857143
297,60,28,0.4666666666666667,68,14,0.20588235294117646,62,7,0.11290322580645161,68,52,0.7647058823529411,68,43,0.6323529411764706,68,10,0.14705882352941177,68,30,0.4411764705882353,68,13,0.19117647058823528,56,24,0.42857142857142855,68,40,0.5882352941176471,68,58,0.8529411764705882
379,46,21,0.45652173913043476,45,13,0.28888888888888886,40,9,0.225,46,33,0.717391304347826,46,32,0.6956521739130435,46,12,0.2608695652173913,46,26,0.5652173913043478,46,4,0.08695652173913043,29,14,0.4827586206896552,46,27,0.5869565217391305,46,40,0.8695652173913043
624,8,1,0.125,8,5,0.625,7,4,0.5714285714285714,8,4,0.5,8,3,0.375,8,1,0.125,8,2,0.25,8,0,0.0,5,5,1.0,8,6,0.75,8,7,0.875
637,15,9,0.6,16,3,0.1875,15,1,0.06666666666666667,16,9,0.5625,16,13,0.8125,16,6,0.375,16,9,0.5625,16,8,0.5,7,4,0.5714285714285714,16,13,0.8125,16,12,0.75
696,16,5,0.3125,16,4,0.25,16,2,0.125,16,7,0.4375,16,11,0.6875,16,1,0.0625,16,5,0.3125,16,5,0.3125,9,8,0.8888888888888888,16,16,1.0,16,14,0.875
768,17,3,0.17647058823529413,17,7,0.4117647058823529,15,4,0.26666666666666666,17,6,0.35294117647058826,17,17,1.0,17,9,0.5294117647058824,17,7,0.4117647058823529,17,2,0.11764705882352941,12,11,0.9166666666666666,17,4,0.23529411764705882,17,13,0.7647058823529411
860,9,2,0.2222222222222222,9,3,0.3333333333333333,8,1,0.125,9,4,0.4444444444444444,9,9,1.0,9,3,0.3333333333333333,9,6,0.6666666666666666,9,0,0.0,9,8,0.8888888888888888,9,5,0.5555555555555556,9,7,0.7777777777777778
965,40,16,0.4,39,10,0.2564102564102564,38,2,0.05263157894736842,41,32,0.7804878048780488,41,32,0.7804878048780488,41,11,0.2682926829268293,41,23,0.5609756097560976,41,4,0.0975609756097561,31,20,0.6451612903225806,41,28,0.6829268292682927,41,36,0.8780487804878049
1035,16,12,0.75,16,1,0.0625,14,1,0.07142857142857142,16,12,0.75,16,14,0.875,16,7,0.4375,16,5,0.3125,16,8,0.5,8,4,0.5,16,8,0.5,16,12,0.75
1112,3,2,0.6666666666666666,3,1,0.3333333333333333,3,0,0.0,3,0,0.0,3,1,0.3333333333333333,3,0,0.0,3,1,0.3333333333333333,3,0,0.0,2,1,0.5,3,3,1.0,3,3,1.0
1428,8,2,0.25,8,3,0.375,8,3,0.375,8,3,0.375,8,3,0.375,8,0,0.0,8,2,0.25,8,0,0.0,2,1,0.5,8,7,0.875,8,7,0.875
1637,6,3,0.5,6,0,0.0,5,1,0.2,7,3,0.42857142857142855,7,6,0.8571428571428571,7,3,0.42857142857142855,7,2,0.2857142857142857,7,0,0.0,7,6,0.8571428571428571,7,2,0.2857142857142857,7,3,0.42857142857142855
1717,7,2,0.2857142857142857,7,3,0.42857142857142855,6,2,0.3333333333333333,7,2,0.2857142857142857,7,3,0.42857142857142855,7,1,0.14285714285714285,7,2,0.2857142857142857,7,0,0.0,6,5,0.8333333333333334,7,6,0.8571428571428571,7,5,0.7142857142857143
1907,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
2711,33,6,0.18181818181818182,35,14,0.4,33,9,0.2727272727272727,35,10,0.2857142857142857,35,33,0.9428571428571428,35,12,0.34285714285714286,35,18,0.5142857142857142,35,10,0.2857142857142857,30,14,0.4666666666666667,35,26,0.7428571428571429,35,28,0.8
2921,76,13,0.17105263157894737,75,37,0.49333333333333335,72,31,0.4305555555555556,77,21,0.2727272727272727,77,66,0.8571428571428571,77,18,0.23376623376623376,77,31,0.4025974025974026,77,23,0.2987012987012987,59,24,0.4067796610169492,77,49,0.6363636363636364,77,57,0.7402597402597403
3145,18,4,0.2222222222222222,18,8,0.4444444444444444,18,9,0.5,18,4,0.2222222222222222,18,2,0.1111111111111111,18,0,0.0,18,6,0.3333333333333333,18,2,0.1111111111111111,8,7,0.875,18,16,0.8888888888888888,18,11,0.6111111111111112
3163,19,4,0.21052631578947367,19,9,0.47368421052631576,17,6,0.35294117647058826,19,10,0.5263157894736842,19,12,0.631578947368421,19,6,0.3157894736842105,19,3,0.15789473684210525,19,4,0.21052631578947367,13,10,0.7692307692307693,19,11,0.5789473684210527,19,11,0.5789473684210527
3179,30,10,0.3333333333333333,32,12,0.375,31,5,0.16129032258064516,32,14,0.4375,32,22,0.6875,32,6,0.1875,32,14,0.4375,32,10,0.3125,20,12,0.6,32,24,0.75,32,22,0.6875
3217,32,6,0.1875,32,14,0.4375,31,9,0.2903225806451613,33,17,0.5151515151515151,33,27,0.8181818181818182,33,16,0.48484848484848486,33,17,0.5151515151515151,33,5,0.15151515151515152,24,12,0.5,33,15,0.45454545454545453,33,20,0.6060606060606061
3407,16,5,0.3125,16,7,0.4375,15,5,0.3333333333333333,16,4,0.25,16,10,0.625,16,6,0.375,16,2,0.125,16,0,0.0,11,4,0.36363636363636365,16,11,0.6875,16,9,0.5625
3571,26,10,0.38461538461538464,26,2,0.07692307692307693,23,1,0.043478260869565216,27,25,0.9259259259259259,27,16,0.5925925925925926,27,5,0.18518518518518517,27,15,0.5555555555555556,27,4,0.14814814814814814,25,13,0.52,27,16,0.5925925925925926,27,24,0.8888888888888888
